player_name,solo_KillDeathRatio,solo_DamagePg,solo_AvgSurvivalTime,solo_WinRatio
ililIiIiiillii,1.4,142.8,1266.66,9.09
Giuk,2.83,272.27,1426.5,14.29
Sayidd,1.64,196.33,864.86,1.75
m1nd_one,2.63,257.66,1395.95,11.63
elka,2.46,258.14,1517.2,16.13
tyo_shat,1.76,195.11,965.29,3.51
Killer-K,3.09,250.98,1048.6,15.38
HideOnPussy,4.07,328.36,1363.84,26.32
SEMANG,1,174.96,915.73,0
A-Z-0-9,1.19,152.83,815.28,2.44
ZyCheNzz,12,398.41,1520.19,66.67
SY_laofei,1.98,221.04,896.68,3.08
ver0x,10,612.15,1526.48,42.86
maimai83,2.05,223.03,1418.42,3.03
FrontOfYou,1.26,155.24,957.47,1.89
Sacriel,2.42,253.61,1303.21,9.66
songse,1.46,170.01,792.33,0
Einstyle,1.04,129.45,790.07,0
Filthycat305,2.89,304.85,862.75,7.78
steelol,5.7,476.22,1591.66,28.57
nickelasscrack,1.42,178.41,1225.55,2.16
Ketsuzai,1.12,149.79,905.48,0.87
nmr_0,1.98,228.48,1048.1,5.68
NOP__JK17sai,3,266.88,1344.6,25
ASIFFALLDOWN,0.67,95.5,1041.03,0.5
MinYiHyun,2.35,251.1,1012.48,8
FishBread,2.73,288.17,1406.82,6.78
Gratia,2.24,249.06,1376.67,11.27
DevRa,1.45,166.97,961.34,1.87
hinghing,2.33,262.53,1751.64,0
JingleSgrios,1.11,129.99,1081.95,3.69
ssanQ,0.77,93.78,953.43,0.42
Bush_Wookie25,3.19,292.99,1027.4,13.51
OhSAX,1.08,109.54,928.4,0
Obang,3.23,315,990.14,9.09
Peggie,1.62,186.12,646.83,2.38
MerryChristmas,1.45,163.56,666.05,2.76
TehForz,6.5,472.65,1564.88,33.33
NightEnduro,2.21,249.25,717.39,2.97
Pokech,6,384.13,1419.53,40
PandaTV866144,1.78,196.42,811.51,5.23
Stoff,3.15,312.4,1197.6,13.33
KoolzR,2.34,260.19,1313.59,9.64
XFreedom,0.89,109.16,865.65,1.34
Henrikisbest,3.08,337.51,641.88,2.76
Substanse,1.48,180.48,858.71,2.81
WaiGeol,2.3,234.13,1031.85,9.86
RUS78,4.47,472.13,838.98,16.95
ppikki,1.57,177.47,855.08,3.26
David-505,2.03,204.98,1478.93,14.8
D_PiL,1.93,205.04,613.43,5.26
EZDeath777,0.88,119.85,1054.97,0.9
kaiGOD,3.89,378.12,1200.12,17.14
imNaDa,0.95,116.05,693.72,0.88
EmergencyFood,1.72,201.69,1074.54,0
FPS_Kephrii,2.73,305.94,990.28,9.26
GIIN2,1.14,125.27,991.3,2.14
Puma,2.82,270.58,1377.8,14.04
SangGi,1.92,210,1242.8,9.09
DDOYO,1.42,162.62,941.66,2.53
Marynat,3.56,339.68,870.42,11.11
P0ND,1.42,180.9,793,0
Meeety,1.81,210.99,717.94,2.14
GICE,3.08,290.59,1326.16,19.67
LavenderAA-,0.56,59.57,731.92,0
ryuji723,1.37,172.36,878.3,0.37
YourSoulIsMine,1.56,178.32,1062.36,3.23
roEhd,2.36,258.87,932.15,3.03
South__WIND,7,318.66,1627.75,50
Rayjackson,1.56,163.88,1125.65,10
5Dark,2.14,234.33,1088.75,7.41
VissGames,5.74,501.57,937.36,19.66
LsinJ,0.76,105.36,1418.55,2.17
eMERPUs,3.83,317.44,1096.9,14.29
AstroHippo,1.29,148.03,808.67,2.04
FuryEcho,2.34,271.49,748.01,3.33
Merrwine,0.93,117.79,912.99,1.19
Heading0613,1.83,220.8,792.88,1.11
